num_tx,satoshi_fee,time,block_size,hash
246,3946706,1454684527,236643,0000000000000000060338c2ac1f34c23e9d3bf2ffa1708c875b850d98a8abb7
2337,43645915,1454685419,995097,000000000000000008b0209f5e58112099a1c1958917aa134439569add9441b8
1984,31955181,1454686150,830417,000000000000000000e48c37ff9c96331feb12d8ab7b0f0125a1ae5739c471e9
1283,24854760,1454686455,929885,0000000000000000009b5caa5e4d20bc5fa85844ca9a1a359038082eb1f98335
77,1057254,1454686481,31866,000000000000000005de9939187a98c09df9e1450f40d3bd3ac1d47fe2c587aa
71,1219053,1454686512,33626,000000000000000000fa81bdb90d4e92c8d27f0cfefebcaab192b052fd147467
1998,34854899,1454687270,844624,00000000000000000129d21e6bb0925bca7d317ead187930e2c59b19e97fd68d
1,0,1454687284,208,000000000000000006c89a703efe22a71b0578ae123c217a1f52884ca50a3efc
2790,57176339,1454688833,934139,00000000000000000293133a6d230168d0096d0acd40fb81bbc1b9d873928978
2183,32090963,1454689268,934207,0000000000000000071f191e8ebe154b9508485c5bb1b72a2846234d604cb1c5
2176,42029330,1454689857,999995,000000000000000006016ecc2c220adb6f22fdc04ef290317d02a5663711d174
1429,25583821,1454690226,995107,000000000000000005f721e598451505c2a3fa0f9b1bc530203e3f8bf7ffc24f
1127,22833893,1454690453,997158,000000000000000005b268ce83666894a82d3782e7c76efd134f69668f20a2b6
1780,31919862,1454691132,987416,00000000000000000867ea76cff9c7d688596283dfef24dc231ac6e681c06732
687,13393500,1454691352,335380,000000000000000008bd783898b9301d76f659c4fb152f6d6a01dfc8eeefa1b6
1346,23393158,1454691699,887642,00000000000000000561a4d25d3991926a1ec8fe6505c2e7d3bd59db8abfa590
853,17730673,1454691918,908962,0000000000000000044950d58ddd8b69b33f32be2836d9a906fdddc1982cd62d
1404,27124907,1454692368,637805,0000000000000000053539cb485acb68effe0e2c9ef86771402e880811cd1860
623,10598897,1454692599,341572,000000000000000002a70d8fe60a12a76785fafaa1b9e0cb3b6630dd8fc6a4f8
2073,43894224,1454693541,988034,000000000000000008b5f046cd1809173abe0d88f498f776ba4c8f40cfdb9ff6
1974,44249457,1454694307,999952,000000000000000005c9ca2274720ea8447ad3977f38689141741798873c745f
2686,62330193,1454696189,999899,0000000000000000028703b74d686a7fe77aa3ddb4960636b25755ca6cf16305
1666,29495601,1454696431,999895,000000000000000008dcf4fef969384f0cad9187f53f941c5a21fb0b31f64ffb
1064,16462934,1454696506,749084,000000000000000003802a3a119435a0daef6d876b917ab07f7ef4908d2f5c5e
750,14181897,1454696765,381845,000000000000000001dd6abe45e012f580dfbafabc9348e8496ee7951d1311ee
719,11880270,1454697045,351761,000000000000000001e659e1bedfbbc0a5add55ab3580d58a9bee0e0da2c31b0
1395,26705741,1454697635,654774,000000000000000008d15890f7c4b2a25cfcb427bca83aeea5971f8bb9c9b650
945,19201111,1454697832,989166,000000000000000006606bf5a4ff3b754c702efce7174acc073497261684957f
1365,26644302,1454698220,949102,000000000000000002f10bcb52884421d54d01e6daa0803ac967fc4ffca49d7f
590,10128924,1454698427,334475,00000000000000000764cbc18807777ab6cc2c8cdb279c376b6eaba6fefb1f0f
541,9506143,1454698527,995095,0000000000000000006c20d02593078427a89c2ac3e80da8047e0c80afec92b9
1528,31940849,1454699090,913847,0000000000000000016377b04230b46ff4b4f52adc8622835c0a28a4ba7c9041
774,15010529,1454699366,463759,0000000000000000007692ded0056f1446d2d6a3f7202d70ad499bbb85f226c5
1951,42813081,1454700167,933865,0000000000000000014082fb3ce320a8e85633761e6b5cf7207d2242efe9008f
2271,40284672,1454700974,934442,000000000000000000da0367cf87b23bdad53984b026478b7624e0aa0c62812e
563,8161596,1454701158,564706,0000000000000000047d3a0ec7f4788c46cddc67c32d835f5f627d7d36dc97ce
555,10603805,1454701370,252658,00000000000000000209bd3683d093900a6aa9426ef8af1eaf59349d7cdca311
1639,25241203,1454702004,796512,0000000000000000019d25a11d8f95874330f1c234b48374fc13b81b66d32a97
1037,19208469,1454702347,690756,0000000000000000062558846ce67b2add05953f5d11433647972b367203c982
2144,41702004,1454703104,998193,000000000000000007426fe22dc7ef0e2b72f57aa1d1c6578b1b326603ab6350
1564,26189528,1454704329,622142,000000000000000003c81a6272359e98adde6645ba6b0018353e317e0267f8ed
2272,61434191,1454704907,999856,000000000000000001ff5278320db9098b00afcebade6d167315d8c72c9e517e
1467,26126100,1454705244,996201,0000000000000000082a78a4dfc445fafda3330e2eb4ed87dfb69ce11b3c9e86
2270,69366780,1454706656,998223,0000000000000000005e272e629288c1801505acd82e6ad8a32ea12ef071faf2
1507,42088920,1454707482,999957,000000000000000006cd8810ef25f9370d2d4a172c5f6a07eec287141f9a3dea
1171,25302351,1454707793,996150,00000000000000000694be3020ccd5f184dccfbb01b4532a25744003436e45af
1230,26092743,1454708216,995195,0000000000000000086b3e0c3ab28e08f07429e9bf0847e00681183fd151553f
1837,37510470,1454709262,932652,0000000000000000046852fac63219e6187cbb1a4bda603d33382cb94bd7c21f
1682,36346449,1454709989,999910,0000000000000000066fff4925caf1dad8ffa6993927f2aa4f7eb21d025377d8
684,20049670,1454710474,998116,00000000000000000404ef08713a10b6531e0821f36da881b4189905164456f3
856,15873429,1454710298,917606,000000000000000002db319f1e7d60c0bd7ce2c33a96d96cc1b8a5f898247071
572,11344825,1454710468,252522,0000000000000000072c5f0f7c9e28c8a51781c63e4bafe373281e9d82b9aaef
142,3541692,1454710516,77548,00000000000000000687ab67bc2da96d1edad82804589267b190e5fec2243df0
748,14727756,1454710830,400175,0000000000000000053d4f1c0ed06e6a043ba2c14a31ef4ff0edffcae155e40c
1740,32980223,1454711554,927142,0000000000000000046167e0161fe80ab6c71cc1ba33bdaddb486411790385b5
2486,46842662,1454713152,934565,000000000000000002ef372a0be6122595be6a751fc96a903a62f99c5ca0d68d
2056,34180634,1454713942,916032,0000000000000000061c2353475d366206349018ceb1ea3181cecc24cb567e16
305,5620795,1454713958,383512,000000000000000002e4b8fc782b512f5763588c57a41fb44ea2549ce34cf14c
606,9354688,1454714027,544627,000000000000000005a9cff19cc4d191831e54d8c7bf86994cff9c418bef3359
868,14995279,1454714355,814268,00000000000000000364c341a46cca36aedc7a956d1a316112cf5e3880b1d953
1772,28700842,1454715174,800335,000000000000000008eef32062617f9542c498c41f23320fcd7cab12b1101ce6
1348,23955657,1454715766,680216,000000000000000001f213070ec4749129bc290658a7006e31f9cd3a5d557ab0
